cust1|1000000|9999999999|730.00|Active
cust2|1000001|9876543219|13000.00|Active
cust3|1000002|5465987425|7000.00|Active
cust4|1000003|9879879879|50000.00|Deactive
cust5|1000005|4444444444|950.00|Active
cust6|1000006|4785962589|100.00|Active
cust7|1000007|9998884445|0.00|Active
cust8|1000008|4587963215|0.00|Active
cust9|1000009|7894561478|0.00|Active
cust11|1000010|5456874123|0.00|Active
cust12|1000011|7893652486|0.00|Active
cust13|1000012|7896325800|0.00|Active
cust33|1000013|4566540000|0.00|Active
jeff|1000014|4455660000|0.00|Active
bezos|1000015|7788888888|0.00|Active
mark|1000016|5555555556|0.00|Active
bill|1000017|8211793036|0.00|Active
